date,time,cash_type,card,price,coffee_name
2024-01-07,09:44,card,ANON-3213,3.46,Cappuccino
2024-01-07,10:20,card,ANON-1096,3.52,Cappuccino
2024-01-07,10:26,card,ANON-5316,3.78,Latte
2024-01-07,10:48,cash,,2.53,Americano
2024-01-07,11:18,card,ANON-8815,3.52,Cappuccino
2024-01-07,11:25,card,ANON-3798,3.82,Flat White
2024-01-07,11:50,card,ANON-7576,2.41,Americano
2024-01-07,13:13,card,ANON-1125,3.42,Cappuccino
2024-01-07,14:50,card,ANON-5525,2.98,Hot Chocolate
2024-01-08,07:00,card,ANON-4049,1.99,Espresso
2024-01-08,07:31,cash,,2.57,Americano
2024-01-08,07:44,cash,,3.01,Hot Chocolate
2024-01-08,07:51,cash,,3.84,Flat White
2024-01-08,07:57,cash,,3.44,Cappuccino
2024-01-08,08:20,card,ANON-8874,3.81,Latte
2024-01-08,08:31,card,ANON-1944,3.52,Cappuccino
2024-01-08,09:27,card,ANON-8800,4.0,Flat White
2024-01-08,09:38,cash,,3.38,Cappuccino
2024-01-08,10:05,card,ANON-7692,3.03,Hot Chocolate
2024-01-08,11:05,cash,,3.02,Hot Chocolate
2024-01-08,11:22,card,ANON-1983,3.43,Cappuccino
2024-01-08,11:25,card,ANON-3767,3.9,Flat White
2024-01-08,11:32,card,ANON-7201,3.0,Hot Chocolate
2024-01-08,11:59,card,ANON-6847,3.87,Flat White
2024-01-08,14:44,cash,,2.5,Americano
2024-01-08,15:39,card,ANON-6732,2.42,Americano
2024-01-09,06:25,cash,,2.51,Americano
2024-01-09,07:44,card,ANON-3696,3.22,Cortado
2024-01-09,07:58,cash,,2.91,Hot Chocolate
2024-01-09,08:16,card,ANON-8087,3.04,Hot Chocolate
2024-01-09,08:19,card,ANON-9597,3.79,Latte
2024-01-09,08:41,card,ANON-9059,3.75,Latte
2024-01-09,09:32,card,ANON-8978,3.53,Cappuccino
2024-01-09,09:48,card,ANON-2680,3.44,Cappuccino
2024-01-09,10:52,card,ANON-4089,3.42,Cappuccino
2024-01-09,10:59,cash,,2.09,Espresso
2024-01-09,11:17,card,ANON-9854,2.54,Americano
2024-01-09,11:19,card,ANON-3255,3.89,Flat White
2024-01-09,11:47,cash,,3.47,Cappuccino
2024-01-09,14:46,card,ANON-8679,3.8,Flat White
2024-01-09,15:04,card,ANON-1604,3.82,Latte
2024-01-10,06:09,card,ANON-1011,3.74,Latte
2024-01-10,06:38,card,ANON-4460,3.75,Latte
2024-01-10,06:46,card,ANON-8768,2.57,Americano
2024-01-10,07:59,card,ANON-5095,2.56,Americano
2024-01-10,11:27,card,ANON-1185,3.81,Latte
2024-01-10,11:29,card,ANON-4546,3.8,Latte
2024-01-10,12:33,cash,,2.5,Americano
2024-01-10,12:40,card,ANON-5452,2.52,Americano
2024-01-10,12:55,card,ANON-7355,3.85,Latte
2024-01-11,06:07,card,ANON-7493,3.44,Cappuccino
2024-01-11,06:08,card,ANON-4773,2.99,Hot Chocolate
2024-01-11,06:50,card,ANON-7372,3.87,Latte
2024-01-11,08:59,card,ANON-8698,3.79,Latte
2024-01-11,10:07,card,ANON-9924,3.8,Latte
2024-01-11,10:25,card,ANON-4671,3.02,Hot Chocolate
2024-01-11,10:28,cash,,3.48,Cappuccino
2024-01-11,10:37,cash,,3.09,Hot Chocolate
2024-01-11,11:03,cash,,2.49,Americano
2024-01-11,11:06,card,ANON-6406,2.53,Americano
2024-01-11,11:45,card,ANON-7097,2.05,Espresso
2024-01-11,11:51,card,ANON-1268,2.5,Americano
2024-01-11,12:23,cash,,3.9,Flat White
2024-01-11,13:50,card,ANON-8864,1.96,Espresso
2024-01-11,14:14,card,ANON-2134,3.85,Flat White
2024-01-11,16:54,card,ANON-9860,3.45,Cappuccino
2024-01-12,06:07,cash,,3.15,Cortado
2024-01-12,06:08,cash,,3.5,Cappuccino
2024-01-12,06:45,cash,,3.85,Flat White
2024-01-12,07:04,card,ANON-8991,3.79,Latte
2024-01-12,07:19,card,ANON-6181,1.98,Espresso
2024-01-12,07:31,card,ANON-7615,3.82,Flat White
2024-01-12,08:03,card,ANON-5215,3.81,Latte
2024-01-12,08:31,card,ANON-2487,1.98,Espresso
2024-01-12,08:41,card,ANON-8789,3.78,Latte
2024-01-12,09:01,card,ANON-6639,3.36,Cortado
2024-01-12,09:18,cash,,2.51,Americano
2024-01-12,09:35,card,ANON-8928,3.84,Latte
2024-01-12,09:43,card,ANON-1903,3.75,Latte
2024-01-12,10:01,card,ANON-7950,3.47,Cappuccino
2024-01-12,10:56,card,ANON-7919,3.82,Latte
2024-01-12,11:03,card,ANON-5048,3.85,Latte
2024-01-12,12:14,card,ANON-6872,3.4,Cappuccino
2024-01-12,13:13,card,ANON-5975,3.71,Latte
2024-01-12,13:39,card,ANON-7579,3.58,Cappuccino
2024-01-12,14:32,card,ANON-5777,3.81,Flat White
2024-01-12,15:27,cash,,3.8,Latte
2024-01-13,06:28,card,ANON-9385,3.88,Flat White
2024-01-13,06:43,card,ANON-6524,3.12,Cortado
2024-01-13,09:12,card,ANON-5973,3.49,Cappuccino
2024-01-13,09:20,card,ANON-8445,2.01,Espresso
2024-01-13,09:21,card,ANON-2185,3.52,Cappuccino
2024-01-13,10:44,cash,,3.48,Cappuccino
2024-01-13,11:09,card,ANON-4725,3.56,Cappuccino
2024-01-13,11:31,card,ANON-4337,3.92,Flat White
2024-01-13,12:22,cash,,2.54,Americano
2024-01-13,12:57,cash,,3.83,Latte
2024-01-13,12:59,card,ANON-4906,3.79,Latte
2024-01-13,13:07,card,ANON-5757,2.02,Espresso
2024-01-13,14:08,card,ANON-2472,3.44,Cappuccino
2024-01-14,06:32,card,ANON-3769,3.95,Flat White
2024-01-14,06:59,card,ANON-7881,4.02,Flat White
2024-01-14,07:41,card,ANON-4673,2.0,Espresso
2024-01-14,08:37,cash,,2.45,Americano
2024-01-14,10:08,card,ANON-9644,3.09,Cortado
2024-01-14,10:24,cash,,3.24,Cortado
2024-01-14,10:37,card,ANON-5899,3.87,Flat White
2024-01-14,10:46,card,ANON-7892,3.23,Cortado
2024-01-14,12:01,card,ANON-2587,3.93,Flat White
2024-01-14,12:07,card,ANON-6899,3.82,Latte
2024-01-14,12:56,card,ANON-4984,2.46,Americano
2024-01-14,14:09,cash,,2.45,Americano
2024-01-14,14:36,card,ANON-6802,3.51,Cappuccino
2024-01-14,15:44,card,ANON-4547,3.92,Flat White
2024-01-15,06:53,card,ANON-2401,3.77,Latte
2024-01-15,06:54,card,ANON-8390,3.04,Hot Chocolate
2024-01-15,08:17,card,ANON-8744,3.8,Latte
2024-01-15,09:08,cash,,3.07,Hot Chocolate
2024-01-15,09:10,cash,,3.01,Hot Chocolate
2024-01-15,09:27,card,ANON-9986,3.81,Latte
2024-01-15,10:32,card,ANON-8655,3.79,Latte
2024-01-15,11:08,card,ANON-8551,2.49,Americano
2024-01-15,11:12,card,ANON-1462,3.45,Cappuccino
2024-01-15,11:55,card,ANON-5285,3.78,Latte
2024-01-15,11:59,cash,,3.86,Latte
2024-01-15,12:25,card,ANON-1011,3.56,Cappuccino
2024-01-15,13:29,card,ANON-3770,3.85,Flat White
2024-01-15,13:35,card,ANON-3316,3.5,Cappuccino
2024-01-15,15:46,card,ANON-1237,3.1,Cortado
2024-01-15,18:52,cash,,3.51,Cappuccino
2024-01-16,06:18,card,ANON-7115,1.95,Espresso
2024-01-16,06:37,card,ANON-2875,2.53,Americano
2024-01-16,06:37,card,ANON-3341,2.0,Espresso
2024-01-16,06:53,card,ANON-4665,3.87,Latte
2024-01-16,07:09,card,ANON-4467,3.02,Hot Chocolate
2024-01-16,07:14,card,ANON-1497,2.51,Americano
2024-01-16,08:09,cash,,3.81,Latte
2024-01-16,08:31,card,ANON-2585,3.77,Latte
2024-01-16,08:48,cash,,1.87,Espresso
2024-01-16,08:56,card,ANON-3601,2.45,Americano
2024-01-16,09:46,card,ANON-6815,3.79,Latte
2024-01-16,10:10,card,ANON-2615,3.91,Flat White
2024-01-16,12:38,card,ANON-7089,2.5,Americano
2024-01-16,12:59,cash,,3.53,Cappuccino
2024-01-16,13:07,card,ANON-2289,2.95,Hot Chocolate
2024-01-16,13:50,card,ANON-9418,3.6,Cappuccino
2024-01-16,14:26,cash,,3.83,Flat White
2024-01-16,17:22,card,ANON-7394,1.98,Espresso
2024-01-17,06:16,card,ANON-5058,3.46,Cappuccino
2024-01-17,06:31,cash,,3.9,Flat White
2024-01-17,06:52,card,ANON-6217,3.47,Cappuccino
2024-01-17,06:55,cash,,3.8,Flat White
2024-01-17,06:58,card,ANON-2158,3.54,Cappuccino
2024-01-17,07:22,card,ANON-3886,3.2,Cortado
2024-01-17,07:29,card,ANON-6890,3.53,Cappuccino
2024-01-17,08:30,card,ANON-7507,3.84,Latte
2024-01-17,08:56,card,ANON-6548,3.98,Flat White
2024-01-17,09:02,card,ANON-2359,1.9,Espresso
2024-01-17,09:31,cash,,2.03,Espresso
2024-01-17,10:09,cash,,3.42,Cappuccino
2024-01-17,10:21,cash,,3.41,Cappuccino
2024-01-17,10:51,card,ANON-9425,3.5,Cappuccino
2024-01-17,11:07,card,ANON-7573,2.99,Hot Chocolate
2024-01-17,11:15,card,ANON-6908,1.98,Espresso
2024-01-17,12:19,card,ANON-7047,3.48,Cappuccino
2024-01-17,12:35,card,ANON-6742,2.95,Hot Chocolate
2024-01-17,13:19,card,ANON-6196,3.77,Latte
2024-01-18,06:12,card,ANON-5607,3.81,Latte
2024-01-18,06:42,card,ANON-9305,3.03,Hot Chocolate
2024-01-18,07:39,card,ANON-4279,1.97,Espresso
2024-01-18,08:42,card,ANON-4574,3.95,Flat White
2024-01-18,09:42,cash,,3.84,Flat White
2024-01-18,09:51,card,ANON-4476,3.5,Cappuccino
2024-01-18,10:47,cash,,3.56,Cappuccino
2024-01-18,12:00,card,ANON-8511,3.78,Latte
2024-01-18,12:09,card,ANON-9382,3.79,Latte
2024-01-18,12:47,card,ANON-2704,3.84,Flat White
2024-01-18,13:07,cash,,3.84,Latte
2024-01-18,15:56,card,ANON-6242,3.14,Hot Chocolate
2024-01-18,16:02,card,ANON-2830,3.95,Flat White
2024-01-19,06:02,card,ANON-3127,3.89,Flat White
2024-01-19,06:16,card,ANON-9780,3.79,Latte
2024-01-19,07:11,card,ANON-9375,2.97,Hot Chocolate
2024-01-19,08:08,cash,,3.83,Latte
2024-01-19,11:34,cash,,2.11,Espresso
2024-01-19,11:54,cash,,2.45,Americano
2024-01-19,12:50,card,ANON-4404,3.49,Cappuccino
2024-01-19,13:07,card,ANON-4130,4.01,Flat White
2024-01-19,14:11,card,ANON-6878,3.84,Latte
2024-01-20,08:43,cash,,3.89,Flat White
2024-01-20,08:59,card,ANON-7604,3.57,Cappuccino
2024-01-20,09:10,card,ANON-3491,3.44,Cappuccino
2024-01-20,10:35,cash,,2.08,Espresso
2024-01-20,11:51,card,ANON-9368,2.46,Americano
2024-01-20,12:57,card,ANON-1410,3.43,Cappuccino
2024-01-20,14:03,card,ANON-2737,3.0,Hot Chocolate
2024-01-21,06:33,card,ANON-6233,3.84,Latte
2024-01-21,07:31,card,ANON-8087,3.22,Cortado
2024-01-21,08:28,card,ANON-7363,2.45,Americano
2024-01-21,08:44,card,ANON-4056,3.52,Cappuccino
2024-01-21,10:45,card,ANON-7308,2.4,Americano
2024-01-21,11:19,cash,,3.82,Latte
2024-01-21,11:21,card,ANON-9188,3.6,Cappuccino
2024-01-21,13:44,card,ANON-2020,3.79,Latte
2024-01-21,16:44,cash,,2.48,Americano
2024-01-22,06:41,card,ANON-3277,3.52,Cappuccino
2024-01-22,06:44,cash,,3.78,Latte
2024-01-22,08:03,card,ANON-7658,3.04,Hot Chocolate
2024-01-22,08:10,card,ANON-3694,2.44,Americano
2024-01-22,08:40,cash,,2.51,Americano
2024-01-22,09:09,card,ANON-3828,3.89,Flat White
2024-01-22,09:25,card,ANON-4101,2.03,Espresso
2024-01-22,09:52,cash,,1.98,Espresso
2024-01-22,10:45,cash,,3.6,Cappuccino
2024-01-22,12:33,cash,,2.45,Americano
2024-01-22,13:18,card,ANON-1212,3.84,Flat White
2024-01-22,13:42,card,ANON-1142,3.53,Cappuccino
2024-01-23,06:09,card,ANON-4343,3.45,Cappuccino
2024-01-23,06:44,card,ANON-8755,3.46,Cappuccino
2024-01-23,09:24,card,ANON-4726,3.13,Cortado
2024-01-23,09:34,cash,,3.76,Latte
2024-01-23,10:09,card,ANON-9445,3.85,Latte
2024-01-23,10:34,cash,,3.82,Latte
2024-01-23,10:47,card,ANON-2066,3.0,Hot Chocolate
2024-01-23,11:15,card,ANON-4625,3.92,Flat White
2024-01-23,11:39,cash,,3.98,Flat White
2024-01-23,11:50,card,ANON-4900,3.86,Latte
2024-01-23,13:32,card,ANON-3751,3.81,Latte
2024-01-23,13:46,cash,,3.98,Flat White
2024-01-23,14:28,card,ANON-2729,3.79,Latte
2024-01-24,06:20,cash,,3.54,Cappuccino
2024-01-24,06:31,card,ANON-4063,2.48,Americano
2024-01-24,06:57,card,ANON-1925,1.98,Espresso
2024-01-24,07:38,card,ANON-6539,3.91,Flat White
2024-01-24,07:44,card,ANON-6221,3.8,Latte
2024-01-24,08:08,card,ANON-3618,3.95,Flat White
2024-01-24,08:12,cash,,3.86,Latte
2024-01-24,08:27,cash,,3.51,Cappuccino
2024-01-24,08:44,card,ANON-5928,3.88,Flat White
2024-01-24,08:47,card,ANON-3220,2.98,Hot Chocolate
2024-01-24,09:12,card,ANON-4031,2.52,Americano
2024-01-24,09:26,card,ANON-5698,3.87,Flat White
2024-01-24,09:27,card,ANON-2981,2.97,Hot Chocolate
2024-01-24,09:52,cash,,3.01,Hot Chocolate
2024-01-24,10:40,card,ANON-5546,2.49,Americano
2024-01-24,11:07,cash,,2.51,Americano
2024-01-24,11:09,card,ANON-7743,3.03,Hot Chocolate
2024-01-24,12:20,card,ANON-4238,3.49,Cappuccino
2024-01-24,13:28,cash,,1.97,Espresso
2024-01-24,17:47,card,ANON-4199,3.99,Flat White
2024-01-25,06:29,card,ANON-6777,3.97,Flat White
2024-01-25,06:33,card,ANON-3946,1.96,Espresso
2024-01-25,06:41,card,ANON-1463,3.14,Cortado
2024-01-25,06:57,cash,,2.97,Hot Chocolate
2024-01-25,07:24,card,ANON-7937,2.48,Americano
2024-01-25,07:46,card,ANON-3346,3.87,Latte
2024-01-25,08:41,card,ANON-5071,2.97,Hot Chocolate
2024-01-25,08:41,card,ANON-4052,2.59,Americano
2024-01-25,09:10,card,ANON-4297,3.71,Latte
2024-01-25,09:46,card,ANON-1949,3.78,Latte
2024-01-25,10:14,card,ANON-5863,3.56,Cappuccino
2024-01-25,10:36,card,ANON-5631,3.83,Latte
2024-01-25,13:55,card,ANON-6300,3.55,Cappuccino
2024-01-26,06:43,card,ANON-9287,3.97,Flat White
2024-01-26,08:56,card,ANON-2377,2.02,Espresso
2024-01-26,09:03,cash,,2.02,Espresso
2024-01-26,10:01,card,ANON-7184,3.82,Latte
2024-01-26,10:02,card,ANON-3887,3.03,Hot Chocolate
2024-01-26,10:11,card,ANON-2591,2.53,Americano
2024-01-26,10:13,cash,,3.4,Cappuccino
2024-01-26,10:20,card,ANON-3253,2.48,Americano
2024-01-26,10:24,card,ANON-4674,3.45,Cappuccino
2024-01-26,10:25,cash,,2.43,Americano
2024-01-26,10:32,cash,,3.88,Flat White
2024-01-26,11:40,card,ANON-4985,2.05,Espresso
2024-01-26,12:06,card,ANON-5740,3.79,Flat White
2024-01-26,12:10,card,ANON-2268,3.74,Latte
2024-01-26,13:22,cash,,3.93,Flat White
2024-01-26,14:31,cash,,3.49,Cappuccino
2024-01-27,06:09,card,ANON-4724,2.45,Americano
2024-01-27,07:37,card,ANON-6430,3.79,Latte
2024-01-27,08:28,card,ANON-3928,2.51,Americano
2024-01-27,08:50,card,ANON-5515,1.93,Espresso
2024-01-27,10:26,cash,,2.03,Espresso
2024-01-27,10:52,cash,,3.92,Flat White
2024-01-27,11:45,card,ANON-1600,3.96,Flat White
2024-01-27,13:09,cash,,3.86,Latte
2024-01-27,13:36,card,ANON-9365,3.93,Flat White
2024-01-28,06:01,card,ANON-4320,3.81,Flat White
2024-01-28,06:01,card,ANON-8610,2.45,Americano
2024-01-28,06:15,card,ANON-6856,3.51,Cappuccino
2024-01-28,06:38,card,ANON-9884,2.41,Americano
2024-01-28,06:47,card,ANON-3175,3.44,Cappuccino
2024-01-28,07:18,card,ANON-1641,3.2,Cortado
2024-01-28,07:31,card,ANON-7606,3.58,Cappuccino
2024-01-28,07:51,card,ANON-4791,3.52,Cappuccino
2024-01-28,09:12,card,ANON-4969,2.49,Americano
2024-01-28,09:16,card,ANON-2374,3.52,Cappuccino
2024-01-28,10:27,card,ANON-3234,3.81,Latte
2024-01-28,10:41,card,ANON-6528,2.54,Americano
2024-01-28,10:50,card,ANON-5773,2.99,Hot Chocolate
2024-01-29,06:05,card,ANON-9887,3.74,Latte
2024-01-29,06:06,card,ANON-8672,3.52,Cappuccino
2024-01-29,06:09,card,ANON-5033,3.37,Cappuccino
2024-01-29,06:17,cash,,3.84,Latte
2024-01-29,06:44,card,ANON-1350,3.96,Flat White
2024-01-29,06:48,cash,,3.29,Cortado
2024-01-29,07:46,card,ANON-9342,2.51,Americano
2024-01-29,07:59,card,ANON-7018,3.77,Latte
2024-01-29,08:45,card,ANON-1299,3.51,Cappuccino
2024-01-29,08:54,card,ANON-9787,3.53,Cappuccino
2024-01-29,09:49,card,ANON-1295,2.44,Americano
2024-01-29,10:05,cash,,3.91,Flat White
2024-01-29,10:28,card,ANON-1412,3.83,Latte
2024-01-29,10:30,card,ANON-4196,3.3,Cortado
2024-01-29,10:33,card,ANON-2801,3.85,Latte
2024-01-29,10:46,card,ANON-2096,3.04,Hot Chocolate
2024-01-29,10:54,card,ANON-3562,2.0,Espresso
2024-01-29,10:58,card,ANON-4050,3.52,Cappuccino
2024-01-29,11:00,cash,,3.03,Hot Chocolate
2024-01-29,11:17,cash,,2.41,Americano
2024-01-29,11:36,card,ANON-3380,3.73,Latte
2024-01-29,11:49,card,ANON-5798,3.85,Latte
2024-01-29,16:44,card,ANON-1381,3.92,Flat White
2024-01-30,06:39,cash,,3.89,Flat White
2024-01-30,07:19,card,ANON-7415,3.27,Cortado
2024-01-30,07:55,card,ANON-4032,2.05,Espresso
2024-01-30,07:58,card,ANON-9338,3.94,Flat White
2024-01-30,08:06,card,ANON-7144,3.89,Flat White
2024-01-30,08:42,card,ANON-6295,3.71,Latte
2024-01-30,09:30,card,ANON-7900,2.47,Americano
2024-01-30,10:35,card,ANON-1628,3.76,Latte
2024-01-30,10:39,card,ANON-3345,3.86,Flat White
2024-01-30,10:46,card,ANON-8665,3.85,Latte
2024-01-30,11:02,card,ANON-1434,2.51,Americano
2024-01-30,11:06,card,ANON-9083,3.41,Cappuccino
2024-01-30,11:27,card,ANON-5298,3.83,Latte
2024-01-30,12:52,card,ANON-7662,3.86,Flat White
2024-01-30,13:21,card,ANON-7024,3.48,Cappuccino
2024-01-30,13:31,card,ANON-2494,3.14,Hot Chocolate
2024-01-31,06:18,card,ANON-7807,3.08,Cortado
2024-01-31,06:29,card,ANON-8991,3.75,Latte
2024-01-31,06:41,card,ANON-3356,3.49,Cappuccino
2024-01-31,08:04,card,ANON-7555,2.5,Americano
2024-01-31,08:59,card,ANON-7945,2.53,Americano
2024-01-31,09:07,card,ANON-9187,3.93,Flat White
2024-01-31,10:05,card,ANON-6005,4.01,Flat White
2024-01-31,10:42,card,ANON-7762,1.97,Espresso
2024-01-31,10:55,card,ANON-6511,3.86,Flat White
2024-01-31,11:01,card,ANON-2692,2.08,Espresso
2024-01-31,12:32,card,ANON-9879,3.59,Cappuccino
2024-01-31,12:50,card,ANON-1545,3.5,Cappuccino
2024-01-31,13:09,card,ANON-7372,2.55,Americano
2024-02-01,06:01,card,ANON-7910,3.88,Flat White
2024-02-01,07:43,card,ANON-3707,3.88,Flat White
2024-02-01,09:21,card,ANON-6538,3.82,Latte
2024-02-01,09:28,card,ANON-1551,3.19,Cortado
2024-02-01,10:17,cash,,3.38,Cappuccino
2024-02-01,10:17,cash,,3.02,Hot Chocolate
2024-02-01,10:25,cash,,3.51,Cappuccino
2024-02-01,10:35,card,ANON-7858,3.84,Latte
2024-02-01,11:55,card,ANON-3636,3.65,Latte
2024-02-01,13:04,card,ANON-1071,3.85,Latte
2024-02-01,13:21,card,ANON-7891,3.38,Cappuccino
2024-02-01,13:29,card,ANON-7623,3.52,Cappuccino
2024-02-01,15:15,card,ANON-4784,3.86,Latte
2024-02-01,16:25,card,ANON-6880,3.92,Flat White
2024-02-02,06:12,card,ANON-3225,3.92,Flat White
2024-02-02,07:15,card,ANON-4929,3.2,Cortado
2024-02-02,07:39,card,ANON-9519,1.96,Espresso
2024-02-02,08:11,card,ANON-1954,3.77,Latte
2024-02-02,08:34,card,ANON-4107,3.55,Cappuccino
2024-02-02,08:55,cash,,1.92,Espresso
2024-02-02,09:04,cash,,2.04,Espresso
2024-02-02,10:09,cash,,3.84,Latte
2024-02-02,10:59,card,ANON-8542,3.78,Latte
2024-02-02,12:11,card,ANON-9920,3.77,Latte
2024-02-02,12:14,card,ANON-1884,3.79,Latte
2024-02-02,12:36,card,ANON-6367,3.8,Latte
2024-02-02,12:50,card,ANON-6328,2.9,Hot Chocolate
2024-02-02,13:41,card,ANON-4420,3.24,Cortado
2024-02-02,14:32,cash,,2.48,Americano
2024-02-02,17:40,card,ANON-4507,3.48,Cappuccino
2024-02-03,06:05,cash,,2.57,Americano
2024-02-03,06:14,card,ANON-8526,2.45,Americano
2024-02-03,06:32,card,ANON-3978,3.58,Cappuccino
2024-02-03,06:46,cash,,3.81,Latte
2024-02-03,08:08,card,ANON-9870,3.42,Cappuccino
2024-02-03,08:43,cash,,1.91,Espresso
2024-02-03,14:26,card,ANON-8044,3.56,Cappuccino
2024-02-04,06:15,card,ANON-1870,3.43,Cappuccino
2024-02-04,06:54,card,ANON-5936,3.78,Latte
